ENTREZID	GENETITLE	SYMBOL	CHR_Mapping	BP_Mapping	process_jetset_score	specificity_jetset_score	coverage_jetset_score	robust_jetset_score	overall_jetset_score	top_probe_indicator
101928626	uncharacterized LOC101928626	LOC101928626	1	628194	329.5	0.818181818	1	0.577166314	0.472226984	1
79854	long intergenic non-protein coding RNA 115	LINC00115	1	826863.5	311	0.818181818	0.5	0.595254783	0.24351332	1
643837	long intergenic non-protein coding RNA 1128	LINC01128	1	840912.1667	238	0.909090909	0.555555556	0.672335646	0.339563458	1
100130417	uncharacterized LOC100130417	LOC100130417	1	918254.5	258	0.909090909	0.666666667	0.650275778	0.394106532	1
148398	sterile alpha motif domain containing 11	SAMD11	1	935160.5	617	0.727272727	1	0.357295813	0.259851501	1
26155	NOC2 like nucleolar associated transcriptional repressor	NOC2L	1	951750.5	406	0.090909091	1	0.508021666	0.046183788	1
339451	kelch like family member 17	KLHL17	1	963152.5	184	0.545454545	0.833333333	0.735707611	0.334412551	1
84069	pleckstrin homology domain containing N1	PLEKHN1	1	970800	177	0.909090909	0.181818182	0.744348376	0.123032789	1
84808	PPARGC1 and ESRR induced regulator, muscle 1	PERM1	1	978657.5	419	1	0.714285714	0.497123931	0.355088522	1
57801	hes family bHLH transcription factor 4	HES4	1	999567	522	0.909090909	1	0.418647582	0.380588711	1
9636	ISG15 ubiquitin-like modifier	ISG15	1	1014002.5	318	1	1	0.588344771	0.588344771	1
375790	agrin	AGRN	1	1038120.5	238	0.636363636	1	0.672335646	0.427849957	1
54991	chromosome 1 open reading frame 159	C1orf159	1	1099086.5	468	0.818181818	0.928571429	0.458107813	0.348042949	1
254099	long intergenic non-protein coding RNA 1342	LINC01342	1	1140535	258	0.909090909	1	0.650275778	0.591159798	1
254173	tubulin tyrosine ligase like 10	TTLL10	1	1184349.25	580	1	0.461538462	0.380042147	0.175404068	1
8784	TNF receptor superfamily member 18	TNFRSF18	1	1205108	436	0.818181818	1	0.483225	0.395365909	1
7293	TNF receptor superfamily member 4	TNFRSF4	1	1212746.5	217	0.909090909	1	0.696304377	0.633003979	1
51150	stromal cell derived factor 4	SDF4	1	1224487	337	1	0.666666667	0.569990695	0.379993797	1
126792	beta-1,3-galactosyltransferase 6	B3GALT6	1	1233644	288	1	1	0.618535653	0.618535653	1
388581	family with sequence similarity 132 member A	FAM132A	1	1244583.5	200	1	1	0.71633208	0.71633208	1
118424	ubiquitin conjugating enzyme E2 J2	UBE2J2	1	1263882.5	390	0.818181818	0.928571429	0.521762764	0.396404178	1
6339	sodium channel epithelial 1 delta subunit	SCNN1D	1	1286232	833	0.909090909	0.956521739	0.249201975	0.21669737	1
116983	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ACAP3	1	1300136	288	0.818181818	1	0.618535653	0.506074625	1
126789	pseudouridylate synthase-like 1	PUSL1	1	1310145	312	1	0.8	0.594262692	0.475410153	1
